negative	THERE HAS TO BE SOME TIME SOME PERIOD WHEN THAT IS BEING IMPLEMENTED	BUT WE DO NOT SEE HOW  PUTTING THOSE COMPANIES ABOVE THE PEOPLE IS WHAT WE SHOULD BE DOING
justification	BUT STILL THE FACT THAT EVEN THAT YOU HAVE SMOKED ONCE TWICE OR THIRD BECAUSE OF THE FACT THAT IT IS AN ADDICTION IS A PROBLEM	IT DOESN'T ONLY HAVE TO DO WITH OVERCONSUMPTION AS THE PREVIOUS SPEAKER HAS SAID IT IS INHERENTLY BAD CARS ARE NOT INHERENTLY BAD GUNS ARE NOT INHERENTLY BAD SMOKING IS INHERENTLY BAD AND THE OTHER THING THAT IS INHERENTLY BAD IS DRUGS AND WE HAVE ACTUALLY STOPPED THAT
justification	AND WHEN IT COMES TO ALCOHOL ALCOHOL IS NOT INHERENTLY BAD	IF YOU CONSUME A LITTLE PART OF ALCOHOL EVERY DAY OR EVERY MONTH STUDIES HAVE SHOWN THAT IT HELPS FOR YOUR HEART OR BRAIN ACTIVITY
justification	FIRST TO CHOOSE WHETHER THEY WANT TO SMOKE OR NOT BUT THE PASSIVE SMOKERS IT'S ALSO THEIR CHOICE TO BE NEAR THIS PEOPLE	IF THEY WANT THEY CAN SIMPLY AVOID HAVING THAT CONTACT WITH THE SMOKERS
justification	WE BELIEVE THAT THE CURRENT RESTRICTIONS IN CLOSED PUBLIC SPACES IS ENOUGH	BECAUSE IT DOES MAKE SENSE IN A PLACE WHERE PRETTY MUCH THE SMOKE DOES NOT GET AWAY BECAUSE OF THE CONDITIONS IT DOES MAKE SENSE TO BAN IT IN CLOSED PUBLIC PLACES BUT OUTSIDE OUTDOORS WHEN THE THREAT IS SO MUCH SMALLER IT DOESN'T MAKE SENSE TO RESTRICT THAT FREEDOM
justification	WE ALSO BELIEVE THAT THERE ARE OTHER WAYS THAT ARE ACTUALLY MORE EFFECTIVE TO TACKLE THE CURRENT ISSUE	BECAUSE WE HAVE FIRST ADDRESS WHAT THE ISSUE REALLY IS THE ISSUE IS NOT REALLY THE PEOPLE SMOKING IN THE PUBLIC PLACES THE PROBLEM IS EXACTLY THE ATTITUDE PEOPLE HAVE TOWARDS SMOKING AND THAT IS NOT CHANGE WITH SUCH LAWS
justification	BUT THIS DOES NOT MEAN THAT BANNING IS ANY MORE EFFECTIVE THAN THAT	BECAUSE WHEN WE ARE IN A COUNTRY WHERE THE MENTALITY OF THE PEOPLE IS THAT IT IS OKAY TO SMOKE THAT IT IS NO PROBLEM WHEN THE MENTALITY IS THAT WHATEVER LAWS EXIST WE DON'T CARE WE SIMPLY IGNORE THE LAWS SIMPLY PUTTING A NEW LAW FORWARD IS NOT GOING TO MAKE A DIFFERENCE IN THAT
justification	WE DO NOT SEE HOW THIS LAW WOULD ACTUALLY TACKLE THE PROBLEM IT IS ACTUALLY TRYING TO TACKLE	BECAUSE THE THING HERE YOUR EXAMPLE ABOUT THE LAW IN CLOSED PUBLIC SPACES FIRST OF ALL WE HAVEN'T REALLY SEEN THAT WORKING ACTUALLY
evidence	BUT WHAT WE'VE SEEN ARE OTHER EXAMPLES OF OTHER POLICIES IN DIFFERENT COUNTRIES	AUSTRALIA FOR EXAMPLE WENT TO HAVE A VERY AGGRESSIVE POLICY IN INFORMING WHICH IS FOR EXAMPLE THEY PUT DISTURBING PICTURES IN THE CIGARETTE PACKAGING
justification	AUSTRALIA FOR EXAMPLE WENT TO HAVE A VERY AGGRESSIVE POLICY IN INFORMING WHICH IS FOR EXAMPLE THEY PUT DISTURBING PICTURES IN THE CIGARETTE PACKAGING	AND THAT HAS ACUTALLY STATISTICALLY PROVEN THAT IT DROPPED THE PERCENTAGE OF SMOKERS IN THE COUNTRY
justification	HOWEVER WE HAVE TO PLEASE MAKE SURE THAT THOSE WAYS ARE ACTUALLY WORKING AND DO NOT HAVE NEGATIVE IMPLICATIONS AS WELL	BECAUSE WHEN YOU START TO BAN SOMETHING THAT IS QUITE POPULAR  ESPECIALLY IN PUBLIC PLACES THE MAJORITY OF PEOPLE DO TEND TO SMOKE IN PUBLIC PLACES ANYWAY SO WHAT WE HAVE IS THAT WHEN YOU HAVE A GOVERNMENT THAT IS TRYING TO OPPOSE THAT IT'S ONLY GOING TO CREATE MORE TENSION AND CREATE MORE DISCONTENT FOR THE GOVERMENT AND THE LAWS AND THE LEGAL SYSTEM
justification	GENERALLY SPEAKING THERE IS SOME DIFFERENCE	BECAUSE THERE IS A DIFFERENCE WITH DRUGS THAT HAVE ALWAYS BEEN ILLEGAL IT'S NOT BRINGING ABOUT CHANGE I BELIEVE THAT FOR EXAMPLE  COCAIN OR HEROIN OR ALL THOSE DRUGS WERE NEVER ACTUALLY LEGAL IN GREECE THEY DIDN'T WENT THROUGH A PROCESS OF BECOMING ILLEGAL
justification	THAT'S A BIG DIFFERENCE WHAT WAS THE PERCENTAGE OF USERS WHEN IT BECAME ILLEGAL	LIKE THE PRATICAL PROBLEM THAT ARISES HERE IS WHEN YOU HAVE THAT LARGE NUMBERS OF SMOKERS SIMPLY HAVING THEM AGAINST YOU HAVING THEM AGAINST THE GOVERNMENT AGAINST THE STATE IT'S NOT SIMPLY GOING TO WORK OR GOING TO HELP
justification	THERE IS A DIFFERENCE CONCERING THE NECESSITY OF ONE THING VERSUS THE OTHER	BECAUSE TAXES FOR EXAMPLE ARE NECESSARY AND SUCH SOCIAL CHANGES I GAVE THE EXAMPLE WERE NECESSARY LIKE REALLY BIG CHANGES FOR THE PEOPLE IN GENERAL
justification	BECAUSE TAXES FOR EXAMPLE ARE NECESSARY AND SUCH SOCIAL CHANGES I GAVE THE EXAMPLE WERE NECESSARY LIKE REALLY BIG CHANGES FOR THE PEOPLE IN GENERAL	IT WAS NOT ABOUT MORE MINOR ISSUES SUCH AS SMOKING FOR EXAMPLE A GOVERNMENT CAN'T RUN WITHOUT TAXES BUT A GOVERNMENT CAN RUN WITH SMOKING IN PUBLIC PLACES BEING LEGAL
justification	WE BELIEVE SUCH MEASURES ARE INCOMPARABLE	WE BELIEVE THAT FOR EXAMPLE THERE ARE MANY MORE THINGS THAT COULD BE  DANGEROUS POTENTIALLY TO LIFES OF PEOPLE
evidence	WE BELIEVE THAT FOR EXAMPLE THERE ARE MANY MORE THINGS THAT COULD BE  DANGEROUS POTENTIALLY TO LIFES OF PEOPLE	IT COULD BE POTENTIALLY DANGEROUS TO HAVE A CAR IT COULD BE POTENTIALLY DANGEROUS TO USE TOOLS IT COULD BE POTENTIALLY DANGEROUS LIVE NEAR A FACTORY IT COULD BE POTENTIALLY MANY DIFFERENT THINGS COULD BE POTENTIALLY DANGEROUS TO YOUR HEALTH
evidence	ALCOHOL HAS BEEN LEGAL ALMOST IN ALL HUMAN HISTROY	EXCEPT FOR SOME CULTURES OR THE SHORT PERIOD OF PROHIBITION IN THE UNITED STATES WHICH IS AN ABSOLUTE FAILURE
evidence	LET ME GIVE ANOTHER EXAMPLE OF A DRUGS THAT IS LEGAL AND THAT IS ALCOHOL ALCOHOL HAS BEEN LEGAL ALMOST IN ALL HUMAN HISTROY	SO WHAT WE SEE IS THAT WHAT MATTERS THERE IS NOT REALLY THE NATURE OF THE SUBSTANCE ITSELF BUT HOW PEOPLE PERCEIVE IT AND HOW IT IS CULTURALLY PERCEIVED
justification	SO WHAT WE SEE IS THAT WHAT MATTERS THERE IS NOT REALLY THE NATURE OF THE SUBSTANCE ITSELF BUT HOW PEOPLE PERCEIVE IT AND HOW IT IS CULTURALLY PERCEIVED	WHEN YOU HAVE ALCOHOL OR TOBACCO THAT HAS BEEN TRADITIONALLY LEGAL ALL THROUGH HUMAN HISTORY IT IS REALLY DIFFICULT TO CHANGE THE PEOPLE'S MENTALITY BY SIMPLY ACTUALLY IMPOSING A NEW LAW
evidence	WE ARE HERE TO TODAY TO PROPOSE BANNING PUBLIC SMOKING IN PUBLIC AREAS	WHEREAS PUBLIC AREAS  WOULD BE EVERY AREA IN PUBLIC BUILDING IN A ROAD THAT EVERYONE HAS ACCESS TO IT EVEN HE IS A NON SMOKER
justification	WE ARE HERE TO TODAY TO PROPOSE BANNING PUBLIC SMOKING IN PUBLIC AREAS	AND WE WANT THAT BECAUSE WE WANT FIRST OF ALL TO LIMIT THE CONSUMPTION OF CIGARETTES AND HOW MUCH SOMEONE AN INDIVIDUAL SMOKES SO THUS EFFECTING POSITIVELY HIS HEALTH
justification	WE ARE HERE TO TODAY TO PROPOSE BANNING PUBLIC SMOKING IN PUBLIC AREAS	AND SECOND OF ALL HELP SECOND HAND SMOKERS  NOT INHALE SMOKE WHEN THEY ARE IN A PUBLIC PLACE DUE TO THE FACT THAT THERE ARE FIRST HAND SMOKERS AND MEETING SMOKERS AT THAT MOMENT
justification	HOWEVER THEY SERVE A PRACTICAL PURPOSE THEY'RE NOT LIKE SMOKING	SMOKING IS EXCLUSIVELY BAD FOR YOUR HEALTH AND HAS NO PRACTIAL PURPOSE AND ONLY  DESTROYS THE BODY OF AN INDIVIDUAL
justification	HOWEVER IT'S DIFFERENT PAYING A SMALL TAX OR EVEN A BIG TAX OF TOBACCO AND IT'S DIFFERENT FACING A HUGH FINE OR MAKING IT ILLEGAL	SINCE MAKING IT ILLEGAL WILL MAKE IT TO EVEN HARSHER CONVICTIONS AND THE PERSON BEING MORE AFRAID OF COMMITING SUCH LABELED CRIME
justification	BUT THE BENEFIT LET'S SAY OF HAVING A BLACK MARKET IS THAT YOU CAN HANDLE BLACK MARKET THAT YOU CAN LIMIT THE BLACK MARKET	BUT HAVING A LEGAL MARKET LET'S CALL IT WHITE MARKET YOU CANNOT DO ANYTHING IN THAT CASE BECAUSE IT'S SOMETHING LEGAL AND YOU CAN NOT LIMIT IT IN ANY WAY EVEN WITH A  TAX BECAUSE THERE ARE ALWAYS PEOPLE WILLING TO PAY THAT TAX
justification	HOWEVER MAKING SOMETHING ILLEGAL PROHIBITS MANY PEOPLE AND SPECIALLY IF IT IS A BLACK MARKET	MANY PEOPLE ARE AFRAID TO GET INTO A SYSTEM OF BLACK MARKET
evidence	AND FURTHERMORE THERE WON'T BE GREAT BLACK MARKETS WE ARE NOT TRYING TO BAN SELLING CIGARETTES WE ARE JUST BANNING SMOKING IN PUBLIC AREAS	SMOKING IN PUBLIC AREAS DOESN'T MEAN YOU CANNOT BUY IT IT MEANS THAT YOU WOULD NOT BE ALLOWED TO SMOKE IN AREAS WHERE THERE ARE CHILDREN AND THEN YOU WOULD DOUBLECHECK YOU WOULD DOUBLE THINK IF YOU REALLY WANT TO DO IT
justification	SO THAT THE AMOUNT OF CIGARETTES CONSUMED BY AN AVERAGE SMOKER WILL BE REDUCED	SINCE HE WOULD HAVE TO DOUBLECHECK OR DOUBLE THINK WHAT HIS ACTIONS ARE COMMITING
justification	BUT THE THING IS TO CREATE A MENTALITY TO TEACH HOW COMMITING THE ACTION OF SMOKING IN A PUBLIC PLACE MAKE THE SMOKER THINK FEEL THAT HE IS DOING SOMETHING THAT IS NOT RIGHT	BECAUSE MANY SMOKERS RIGHT NOW THINK THAT SMOKING ONLY HARMS THEMSELVES AND THEY ARE AWARE OF THE DANGERS AND THEY KNOW WHAT THEY ARE DOING TO THEMSELVES BUT MANY TIMES THE DO NOT KNOW WHAT THEY DO TO THE OTHERS AND THUS AFFECTING AS WELL SECOND HAND SMOKERS
justification	SO WHAT WE ARE TRYING TO DO IS TO CREATE A MENTALITY TO SMOKER OF THINKING THAT HE IS DOING SOMETHING BAD SOMETHING HE SHOULDN'T DO	AND SECOND HAND SMOKERS HAVE NOTHING TO DO WITH THAT THEY HAVE THOUGHT OF THE DANGERS HAVE CHOSEN NOT TO SMOKE
justification	SO WHAT WE ARE TRYING TO DO IS TO CREATE A MENTALITY TO SMOKER OF THINKING THAT HE IS DOING SOMETHING BAD SOMETHING HE SHOULDN'T DO	BECAUSE WELL HE'S HARMING THE REST ONES THAT ARE AROUND HIM AND THAT HE IS NOT ALONE IN THE SOCIETY
justification	WHY SPEND MONEY ON CAMPAIGNS WHY SPEND MONEY ON CHECKING MECHANISM WHY EVEN DO ANYTHING SINCE IT'S NOT GOING TO WORK	SO THE CONCEPT THAT THE OPPOSITION PROPOSING IS ALLOWING EVERYBODY TO SMOKE WHEREVER THEY WANT SINCE EVEN FORBIDDING IT  WOULDN'T CHANGE ANYTHING SO WHY EVEN TRY
justification	THE WHOLE PRINCIPLE OF SCHOOL AND SOCIETY IS TEACHING PEOPLE WHEN SOMETHING IS ILLEGAL YOU SHOULDN'T DO IT AND NOT BEING AFRAID BUT DOUBLE THINK BEFORE COMMIT ANY ACTION THAT IS ILLEGAL	IF IT WASN'T IN THIS WAY THEN EVEN IF IT WAS ILLEGAL TO MURDER SOMEBODY NOBODY WOULD ACTUALLY DO IT BECAUSE THEY WOULD KNOW SO WHAT WE DO NOT KNOW WHAT IT MEANS NOT TO OFFEND THE LAW WE DON'T KNOW SUCH A FEELING THE WHOLE CONCEPT IS STATISTICALLY HUMAN AND INDIVIDUAL HOW THIS IS AN ACTION THAT IS NOT ALLOWED AND IF THEY CHOOSE TO DISOBEY THIS ACTION THEY MIGHT BE PROSECUTED
justification	THE WHOLE CONCEPT THE OPPOSITION PROPOSES IS WE SHOULDN'T BAN ANYTHING	BECAUSE WELL THEN WE MAKE THE CITIZEN BE AFRAID OF WHAT WE ARE DOING AND THEN A SUPPRESSIVE SOCIETY LIKE NINETY EIGHTYFOUR THAT THERE BEING LAWS THEY DON'T DARE TO DO SOMETHING THAT'S ILLEGAL AND END UP IN A PRISON CELL
justification	AND WE ARE NOT PROPOSING BANNING SOMETHING THAT IS BENEFICIAL FOR OUR SOCIETY BANNING USING CARS BANNING CHEWING CHEWING GUM	BECAUSE WELL MAYBE THAT'S BAD OR MAYBE IT'S NOT BAD BUT YOU KNOW SOMETHING THAT IS DIRECTLY BAD FOR THE HEALTH OF THE INDIVIDUAL
evidence	AS FAR AS YOUR ARGUMENT GOES ABOUT PUBLIC PLACES THE THING IS THEY ARE PUBLIC PLACES AND THEY ARE CONSIDERED PUBLIC GOODS FOR THE VERY SIMPLE REASON THAT THEY ARE NON EXCLUDABLE	IF WE TAKE IT SUABILITY AND ADD IT TO THE BUNCH THEN THIS IS SIMPLY NOT A PUBLIC AREA ANYMORE THAT EVERYONE CAN GO IN AND DO WHATEVER THEY WANT
justification	IF WE LOOK AT THE HEALTH ASPECT THEN WE SHOULD BAN ANYTHING THAT CAUSES ANY TYPE OF EMISSION	BECAUSE THAT ALSO MAKES IT WORSE FOR THE HUMAN'S HEALTH AND MIGHT ALSO LEAD TO CANCER OR WHATEVER
justification	SO THEREFORE WE SEE THAT THIS IS NOT ACTUALLY A VALID ARGUMENT	BECAUSE IF IT WAS JUST FOR SMOKE WE JUST BAN CARS WE SHOULD BAN FARMING WE SHOULD BAN ALL THOSE DIFFERENT THINGS THAT ACTUALLY CAUSE EMISSIONS
justification	I DON'T THINK YOU BANNING IT IN A PUBLIC PAVEMENT WILL ACTUALLY CAUSE ANY DIFFERENCE TO HIS REACTION	AFTER ALL IT'S TAXATION WE ARE TALKING ABOUT IT'S MONEY AND IF THE SMOKER IS WILLING TO PAY MONEY FOR IT AND IS WILLING TO RUINING HIS OWN HEALTH
justification	SO YOUR MAIN POINT IS ILLEGALITY AND IF SOMETHING IS ILLEGAL OUR SOCIETY FEARS TO DO IT BUT THIS IS NOT THE CASE	BECAUSE PEOPLE DO GET ON A BUS WITHOUT A TICKET PEOPLE DO DO ILLEGAL THINGS AND MOST IMPORTANTLY PEOPLE ARE NEVER STOPPED BY SOMETHING BEING ILLEGAL
evidence	BECAUSE PEOPLE DO GET ON A BUS WITHOUT A TICKET PEOPLE DO DO ILLEGAL THINGS AND MOST IMPORTANTLY PEOPLE ARE NEVER STOPPED BY SOMETHING BEING ILLEGAL	JUST BECAUSE IT'S FOR EXAMPLE IF IT WAS ILLEGAL TO SELL SMOKE OR  BECAUSE IT IS ILLEGAL TO SELL DRUGS WE HAVEN'T SEEN THAT THERE IS NO MARKET FOR THEM
justification	IN FACT THERE IS A BLACK MARKET AND THAT IS EVEN WORSE	BECAUSE THAT IS SOMETHING THE GOVERNMENT CANNOT ACTUALLY CONTROL
evidence	BUT THAT DOES NOT AFFECT THE SMOKER WE HAVE NEVER SEEN A SMOKER SAY OH I WILL NOT ACTUALLY SMOKE BECAUSE I WILL ON A PAVEMENT AND SOMEONE NEXT TO ME MIGHT SMELL THE SMOKE ON THE CONTRARY THE ONLY OCCASIONS WE HAVE SEEN SMOKERS SAYING I DON'T SMOKE IS WHEN THEY ARE IN A PRIVATE AREA IN THEIR HOUSE	AND THEY HAVE CHILDREN FOR EXAMPLE AROUND WHERE IN THAT CASE THEY ACTUALLY CARE ABOUT THE SOCIAL COST AND THE SOCIAL IMPACT OF SUCH A MOVE
justification	SO YOU WANT ACTUALLY REDUCE SMOKING YOU WANT ACTUALLY MAKE ANY CHANGE IN OUR SOCIETY JUST BECAUSE THEY ARE NOT ALLOW TO SMOKE IN A PUBLIC AREA IT DOES NOT MEAN THEY WILL NOT SMOKE AT ALL	BUT IF WE ARE TALKING ABOUT ANONYMITY AND GOING OUT ON THE PAVEMENT AND SAY I WON'T SMOKE FOR THE GOOD OF THE SOCIETY THEN THAT'S A COMPLETELY ALTRUISTIC IDEA THAT'S STAND BY THE IDEAL THAT EVERY HUMAN KNOWS WHAT IS BEST FOR SOCIETY AND THAT IS WHAT BELIEVED BY THAT IS THEIR MORAL CODE BUT THAT IS NOT THE CASE THE CASE IS THAT A SMOKER IS ADDICTED TO SMOKING AND THAT CLOUDS HIS THOUGHTS THAT CLOUDS HIS JUDGEMENT THAT IS WHY A SMOKER WILL SMOKE NOT ON A PUBLIC PLACE MAYBE BUT ON A PRIVATE ONE
justification	AND THEREFORE WE DO NOT SEE HOW A BAN ON SMOKING IN PUBLIC PLACES CAN LEAD TO ANY CHANGES IN OUR SOCIETY	AND THEREFORE YOU DON'T SEE ANY REDUCTION IN SMOKING WE DO NOT SEE ANY ACTUAL EFFECTS AND WE DON'T SEE ANY CHANGES IN SECOND HAND SMOKE
justification	AND THEREFORE YOU DON'T SEE ANY REDUCTION IN SMOKING WE DO NOT SEE ANY ACTUAL EFFECTS AND WE DON'T SEE ANY CHANGES IN SECOND HAND SMOKE	BECAUSE PEOPLE ARE GOING TO SMOKE AND OTHERS ARE GOING TO SMELL AIR WHETHER THEY LIKE IT OR NOT
evidence	YOU ARE NOT ASSUMING THAT A WILLING TO BE YOU ARE ASSUMING IF I THE ACTIONEE DO BANNING SMOKING THEN A CERTAIN ACTION B OUT OF THE BLUE WILL COME AND SMOKING WILL BE REDUCED SUDDENLY	WHICH IS SOMETHING COMPLETELY IRRELEVANT TO EACHOTHER BECAUSE IF YOU WANT TO SMOKE YOU SMOKE IN A PRIVATE AREA AND NOTHING CAN STOP THAT
justification	IF WE LOOK AT THE ACTUAL SMOKER THAT HAS CHOSEN TO SMOKE I CAN ASSURE YOU THAT MOST OF THEM ACTUALLY KNOW THE EFFECT ON THE PUBLIC AROUND THEM	MAINLY BECAUSE THE SMOKING PACKETS HAVE THIS HUGH LABELS ON THEM THAT SAYS SMOKING IS HARMFUL TO YOU AND THE PEOPLE THAT SURROUND YOU
justification	IF WE LOOK AT THE DEEPER PROBLEM WHICH IS THE FACT THAT THEY ARE SMOKING THEN A BAN COULD NOT LIMIT THEM FROM DOING THAT IN ANY SORT OF WAY	BECAUSE IF THEY CANNOT SMOKE IN A RESTAURANT THEY WILL SMOKE IN THE PAVEMENT IF THEY CANNOT SMOKE IN THE PAVEMENT THEY SMOKE IN THEIR HOUSE AND NOBODY CAN STOP THAT BECAUSE IF YOU ARE PROPOSING THAT THIS WILL HAVE  A SLIPPERY SLOPE EFFECT AND SUDDENLY WE WILL BAN SMOKING FROM EVERYWHERE THEN WE MIGHT AS WELL SAY THAT OUR GOVERNMENT CAN DO ANYTHING WHAT THEY WANT AND CAN LIMIT EVERY SINGLE FREEDOM OF CHOICE WE HAVE
justification	SO IN YOUR WORLD HAVING A DOUBLE THOUGHT EQUALS BANNING	BECAUSE IF SOMETHING IS BANNED I WILL THINK ABOUT IT SO MUCH I WILL THINK ABOUT IT AGAIN AND AGAIN BEFORE I DO IT BUT WHY WOULD WANT IT DO IT IF IT'S BANNED I WON'T KNOW ABOUT IT SO WHY WOULD I GIVE IT ANY THOUGH IT'S LIKE INSTEAD OF ACTUALLY HANDLING AND TACKLING A PROBLEM YOU ARE PUSHING IT UNDER THE RUG
justification	AND IF YOU WANT TO YOU COULD BAN CARS YOU COULD SAY EVERYONE HAS TO TAKE THE BUS	JUST SO WE CAN REDUCE THE EMISSIONS AND THAT WOULD ALSO HELP SOCIETY SO WHY NOT DO THAT
justification	so that's why i'm suggesting as you said to really create specific areas that smokers can really smoke without harming other people and really understand the point of why there are doing it	because really it is important to be aware of what we cause with our actions
justification	the place that they attend each time	so we should be able to provide smokers tobacco in specific areas
justification	but we have to be strict in prohibiting smoking around schools or universities or places that young people tend to attend	because young people should not be keen on doing this action
evidence	but in public areas we will be able to provide people with the idea	that yes you can smoke
justification	and also we could really have the police not to interfere in this with measures that are really strict and are about punishing	so that's why we should probably on the first time that they're seen smoking in public places that is not allowed we should warn them and the second time we will go for the penalties
justification	or we don't want to punish anyone we just want them to realize what they are doing and educate them	so that's why we should probably on the first time that they're seen smoking in public places that is not allowed we should warn them and the second time we will go for the penalties
justification	so i think that's why people in public areas could quit smoking	because as we said in the first place they have to respect each other and on the other hand they can smoke
justification	however we do not stand convinced that it should be banned in all public areas	my party will be trying to prove today two main things
evidence	however there are certain cases in which such rights should be taken away	and these are cases in which other rights are concerned
evidence	in which cases my right to freedom of choice or my right to freedom of speech does go on and interfere into another individuals' right	either that is uh freedom of dignity for example
evidence	either that is uh freedom of dignity for example	in cases for example of holocaust denial we can say that my freedom of speech is violating the dignity of the jewish people out there who are alive
justification	because probably you will argue that their right to freedom of choice as well is gonna be violated	because they do not choose to smoke
justification	however that is not the case	because of two fundamental reasons
justification	they're the nature of certain public areas by nature open air public areas are not affecting them	precisely because they're open air
evidence	they're the nature of certain public areas by nature open air public areas are not affecting them	so for instance we do can see that in some cases for example in a restaurant or over here if we can take that place as a public area then may be in that case this measure should be passed
evidence	we've seen public areas smoking being banned and we've seen that not being effective	for instance you can go out here in greece
evidence	we've seen that that being the case	for instance you can go out here in greece
justification	or even if they do tell them something no-one will actually care about them	because at the end of the day the forces right now do not want to pay attention to such matters
justification	because at the end of the day the forces right now do not want to pay attention to such matters	because they have other things to do
justification	because they have other things to do	and that also deals with the idea that the police forces should not be the ones going on and intervene in such cases
justification	and that also deals with the idea that the police forces should not be the ones going on and intervene in such cases	precisely because they have more important things to do
justification	because they have other things to do	precisely because they have more important things to do
justification	it's to make them understand why smoking is bad at the end of the day	what is so bad about that they should not do it
evidence	first of all because you go on banning something and not telling them why it is bad	at the end of the day we my party stands firmly convinced that such an educational campaign for example should be the case
justification	at the end of the day we my party stands firmly convinced that such an educational campaign for example should be the case	because these cases are the ones that make me for example understand why smoking is bad
evidence	because these cases are the ones that make me for example understand why smoking is bad	and that in the long run would make me not smoke
evidence	and that in the long run would make me not smoke	which is that it's not effective precisely
justification	which is that it's not effective precisely	because i will still go on doing it
justification	because i will still go on doing it	because let's say that you do go on banning it
justification	and as i have proven to you i will still go on smoking in public areas as well	because no-one at the end of the day as we can see in the status quo will care
justification	because no-one at the end of the day as we can see in the status quo will care	so precisely because of these tree aforementioned reasons
justification	so precisely because of these tree aforementioned reasons	because we stand firmly convinced that for the benefit of the individual and our society as a whole smoking should not be banned in public areas we propose
justification	because no-one at the end of the day as we can see in the status quo will care	because we stand firmly convinced that for the benefit of the individual and our society as a whole smoking should not be banned in public areas we propose
evidence	well you know what you can not smoke were you'd like to	that case you'd not not have the right to smoke on to public areas
evidence	and i'm gonna say that well that has not been proven yet	so at the end of the day that thing is not proven
justification	and also the government goes on imposing whatever it actually feels that is good for its individuals	just because it has been elected
evidence	just because it has been elected	then that's gonna be essentially meaning laws around the place which are gonna be just justified under the idea that well i'm your government and you elected me
justification	they do understand they are informed about what is so bad about it	because essentially that's also something and it's as in also an effect of going on banning things
evidence	because essentially that's also something and it's as in also an effect of going on banning things	and that essentially is a fundamental problem that the people do lose trust in the government
justification	and that essentially is a fundamental problem that the people do lose trust in the government	because they do not have a say over what the government does
justification	because essentially that's also something and it's as in also an effect of going on banning things	because they do not have a say over what the government does
justification	that they do understand that they will not do this in the long run precisely	because they understand that well you know what smoking is bad
evidence	and they don't just have it banned	so it's actually what we propose is anti smoking campaigns
evidence	the next generation	and we feel that this is really really important
justification	and we feel that this is really really important	because these are the people we want to preserve
evidence	and we feel that this is really really important	they are not gonna have such unhealthy habits such as smoking
evidence	because these are the people we want to preserve	they are not gonna have such unhealthy habits such as smoking
justification	we feel it's also really important for instance me understand from a young age that smoking is bad will have as a result me in the long run not smoking	so precisely because of all of the above and because we feel that the government can achieve its goal which we all agree that is to stop unhealthy habits from the individuals in a gentle manner
justification	because i understand why it is bad	so precisely because of all of the above and because we feel that the government can achieve its goal which we all agree that is to stop unhealthy habits from the individuals in a gentle manner
evidence	and also precisely because of the long term benefits	we do feel that the government should not go on banning it in all the public areas
justification	WE DISAGREE WITH THE BAN IN PUBLIC SMOKING	SIMPLY BECAUSE THE CHOICE OF  ONE DOES NOT LEAN WITH $NOISE WHAT THE OTHER CAN DO
justification	WE DISAGREE WITH THE BAN IN PUBLIC SMOKING	JUST BECAUSE I HAVE NOT ACTUALLY CHOSEN TO SMOKE THAT  DOES NOT MEAN THAT I HAVE THE RIGHT TO LIMIT SOMEONE ELSE FROM THE RIGHT TO SMOKE
evidence	AND EVEN IF WE DONT LOOK AT IT WE HAD RESTRICTED AREAS	IF YOU DON'T WANT TO BE WITH THE SMOKERS WHEN YOU ARE IN A RESTAURANT $NOISE THEN YOU WILL SIMPLY GO THE AREA INSIDE WHERE YOU DO NOT HAVE TO SMELL THE SMOKE FROM OTHER PEOPLE
justification	AND THE SAME WAY THIS IS WHAT THE NON SMOKER SHOULD DO FOR THE SMOKER	AND THEREFORE ITS QUITE  ALTERISTIC TO SAY THAT MY CHOICE AS SOMEONE THAT DOES NOT SMOKE IS MORE IMPORTANT THAN THE CHOICE OF  SOMEONE  THAT ACTUALLY DOES SMOKE
justification	AIR DOES TRAVEL AND IN THAT SENSE IF WE IF THAT IS OUR ARGUMENT FOR BANNING SMOKE WE SHOULD BAN CARS	BECAUSE THEY HAVE A EMISSION
justification	WE SHOULD BAN FARMING	BECAUSE THE CARS  THEY ALSO HAVE EMISSIONS  AND THAT IS WHAT IS CAUSING GLOBAL WARMING
justification	BUT THAT'S NOT ACTUALLY THE CASE	BECAUSE OF WHAT WE SEE IN OUR SOCIETY IS THE FACT THAT WE HAVE SMOKERS AND NONSMOKERS
justification	AND THE CHOICE OF ONE DOES NOT LIMIT THE CHOICE OF THE OTHER	AND THAT IS WHY THE CHOICE TO SMOKE IN PUBLIC PLACES IS EQUALLY IMPORTANT
evidence	WHILE THE $NOISE SMOKER CAN BE OUTSIDE THE RESTAURANT	AND THAT IS HOW THEY THE SMOKER AND THE NON SMOKER WILL NOT INTERMINGLE
justification	NO IN  FACT IT IS  NOT	BECAUSE YOU PROPOSE BANNING SMOKING IN ALL  PUBLIC AREAS
evidence	BECAUSE YOU PROPOSE BANNING SMOKING IN ALL  PUBLIC AREAS	A PUBLIC AREA IS  ME WALKING DOWN THE PAVEMENT WHEN I CANNOT SMOKE
justification	WE'RE IN FAVOR OF LIMITATIONS	BECAUSE LIMITATIONS KEEP OUR SOCIETY SAFE
justification	THAT'S NOT ACTUALLY SOMETHING WE SHOULD DO	BECAUSE IN THAT CASE WE ARE  HARMING A WHOLE  INDUSTRY
